tanggal,deskripsi_berita,berita_clean
2022-03-06 06:01:00,"Berita terpopuler ekonomi dan bisnis sepanjang Sabtu, 5 Maret 2022 antara lain tentang tips terhindar dari penipuan berkedok robot trading.",berita populer ekonomi bisnis sabtu maret tips hindar tipu kedok robot trading
2022-03-05 09:54:00,KontraS menyoroti langkah pemerintah dalam pemindahan Ibu Kota Negara (IKN) ke Kalimantan Timur yang berpotensi menimbulkan pelanggaran HAM,kontras sorot langkah perintah pindah kota negara ikn kalimantan timur potensi timbul langgar ham
2022-03-05 08:59:00,Menkominfo Johnny Plate menyebutkan ibu kota negara atau IKN nantinya sepenuhnya akan didukung penuh oleh teknologi 5G. ,menkominfo johnny plate kota negara ikn sepenuh dukung penuh teknologi g
2022-03-05 06:25:00,KontraS beranggapan proyek IKN berpotensi memicu pelanggaran HAM lebih banyak ketika sudah benar-benar dimulai.,kontras anggap proyek ikn potensi picu langgar ham
2022-03-04 20:27:00,Pemerintah terus mengebut persiapan-persiapan pembangunan IKN. Rencana pemindahan dari DKI Jakarta adalah di tahun 2024.,perintah kebut siap siap bangun ikn rencana pindah dki jakarta
2022-03-04 13:42:00,"Ritual, tari, hingga wisata alam bisa di nikmati di IKN yang wilayahnya masuk ke dalam Paser Penajam, Kalimantan Timur.",ritual tari wisata alam nikmat ikn wilayah masuk paser najam kalimantan timur
2022-03-04 13:37:00,PKS menilai tren negatif kepuasan publik terhadap Presiden Jokowi sebagai lampu kuning. ,pks nilai tren negatif puas publik presiden jokowi lampu kuning
2022-03-04 11:49:00,"Komando Sektor Pertahanan Udara IKN telah terbentuk di Markas Besar TNI AU, Cilangkap, Jakarta yang nanti akan direlokasi ke Nusantara",komando sektor tahan udara ikn bentuk markas tni au cilangkap jakarta relokasi nusantara
2022-03-04 09:55:00,Menteri Luhut Pandjaitan akan segera membentuk tim terpadu untuk menindaklanjuti komitmen investasi Arab Saudi ke Indonesia. ,menteri luhut pandjaitan bentuk tim padu menindaklanjuti komitmen investasi arab saudi indonesia
2022-03-04 09:13:00,Menteri Luhut Pandjaitan mengatakan Putra Mahkota Kerajaan Arab Saudi Pangeran Mohammed bin Salman bin Abdulaziz (MBS) akan berkunjung ke Indonesia. ,menteri luhut pandjaitan putra mahkota raja arab saudi pangeran mohammed bin salman bin abdulaziz mbs kunjung indonesia
2022-03-04 08:49:00,DPD meminta pemerintah belajar dari pengalaman Jakarta dalam pengelolaan Ruang Terbuka Hijau. ,dpd perintah ajar alam jakarta kelola ruang buka hijau
2022-03-03 20:02:00,Akademisi dari Nanyang Technological University Singapura mengatakan pemindahan IKN tidak serta merta akan menyelesaikan masalah di Jakarta.,akademisi nanyang technological university singapura pindah ikn merta selesai jakarta
2022-03-03 18:52:00,"Menteri Koordinator Bidang Kemaritiman dan Investasi Luhut Binsar Pandjaitan melakukan kunjungan kerja ke Riyadh, Arab Saudi, pada 1-2 Maret 2022. ",menteri koordinator bidang maritim investasi luhut binsar pandjaitan kunjung kerja riyadh arab saudi maret
2022-03-03 17:01:00,Kuasa hukum menyayangkan sampai saat ini pihak keluarga belum bisa mengunjungi Edy Mulyadi di rutan.,kuasa hukum sayang keluarga unjung edy mulyadi rutan
2022-03-03 16:46:00,"Ketua MPR Bambang Soesatyo mengatakan Presiden Jokowi tengah mewujudkan cita-cita besar tiga presiden Indonesia, untuk membangun IKN.",ketua mpr bambang soesatyo presiden jokowi wujud cita cita presiden indonesia bangun ikn
2022-03-02 22:00:00,Pengamat menyayangkan sikap Jokowi menegur personel TNI-Polri yang menolak proyek IKN saat pidato di Rapim TNI-Polri. ,amat sayang sikap jokowi tegur personel tni polri tolak proyek ikn pidato rapim tni polri
2022-03-02 14:18:00,Permohonan mutasi ASN ke Pemprov DKI Jakarta meningkat karena banyak yang enggan pindah ke IKN Nusantara. Gubernur Anies angkat bicara. ,mohon mutasi asn pemprov dki jakarta tingkat enggan pindah ikn nusantara gubernur anies angkat bicara
2022-03-02 08:52:00,Penundaan Pemilu 2024 dianggap tak punya dasar hukum.,tunda milu anggap dasar hukum
2022-03-02 05:31:00,Pemerintah menegaskan bahwa aparatur sipil negara atau ASN tidak boleh menolak jika ditugaskan pindah ke ibu kota negara atau IKN.,perintah aparatur sipil negara asn tolak tugas pindah kota negara ikn
2022-03-01 15:36:00,"Menurut Jokowi, ada anggota TNI yang mempersoalkan pembangunan IKN di Kalimantan Timur. ",jokowi anggota tni bangun ikn kalimantan timur
2022-03-01 14:57:00,Markas Besar TNI menganggap pernyataan Presiden Joko Widodo yang menyebut adanya prajurit yang masih menolak IKN sebagai teguran,markas tni anggap nyata presiden joko widodo sebut prajurit tolak ikn tegur
2022-03-01 14:28:00,Ketua DPR Puan Maharani meminta pemerintah secepatnya membangun Ibu Kota Negara (IKN) Nusantara. Alasannya Undang-undang IKN sudah ada.,ketua dpr puan maharani perintah cepat bangun kota negara ikn nusantara alas undang undang ikn
2022-03-01 13:16:00,Jokowi mengatakan ada aparat yang berani mengemukakan sikap penolakan tersebut di grup WhatsApp.,jokowi aparat berani muka sikap tolak grup whatsapp
2022-03-01 10:16:00,Jokowi menyatakan tidak lagi ada jajaran TNI-Polri dan keluarganya yang protes mengenai keputusan tersebut.,jokowi jajar tni polri keluarga protes putus
2022-03-01 08:56:00,Faldo mengklaim pemerintah awalnya tidak mengetahui sama sekali soal usulan penundaan Pemilu 2024.,faldo klaim perintah usul tunda milu
