Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.4656688544590275
75% Corpus,2,0.01,0.31,0.47121534183767716
75% Corpus,2,0.01,0.61,0.45186739583560154
75% Corpus,2,0.01,0.9099999999999999,0.45642326836016506
75% Corpus,2,0.01,symmetric,0.4412907285983201
75% Corpus,2,0.31,0.01,0.46159191582188797
75% Corpus,2,0.31,0.31,0.4519594857606184
75% Corpus,2,0.31,0.61,0.45195948576061845
75% Corpus,2,0.31,0.9099999999999999,0.45195948576061845
75% Corpus,2,0.31,symmetric,0.45195948576061845
75% Corpus,2,0.61,0.01,0.4473333902866625
75% Corpus,2,0.61,0.31,0.4532942005826637
75% Corpus,2,0.61,0.61,0.4061863181504778
75% Corpus,2,0.61,0.9099999999999999,0.4089521795476815
75% Corpus,2,0.61,symmetric,0.4211796470366793
75% Corpus,2,0.9099999999999999,0.01,0.44733339028666247
75% Corpus,2,0.9099999999999999,0.31,0.4301633972341737
75% Corpus,2,0.9099999999999999,0.61,0.4143806652477139
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.4005641580806244
75% Corpus,2,0.9099999999999999,symmetric,0.4143806652477139
75% Corpus,2,symmetric,0.01,0.42546306695129354
75% Corpus,2,symmetric,0.31,0.4391543758400467
75% Corpus,2,symmetric,0.61,0.4428368121181612
75% Corpus,2,symmetric,0.9099999999999999,0.40915388765307903
75% Corpus,2,symmetric,symmetric,0.43915437584004674
75% Corpus,2,asymmetric,0.01,0.44690534147483024
75% Corpus,2,asymmetric,0.31,0.4413717358232968
75% Corpus,2,asymmetric,0.61,0.41691658968186157
75% Corpus,2,asymmetric,0.9099999999999999,0.3430711838669303
75% Corpus,2,asymmetric,symmetric,0.4225772354818412
75% Corpus,3,0.01,0.01,0.4226136310079462
75% Corpus,3,0.01,0.31,0.45155581487848645
75% Corpus,3,0.01,0.61,0.44614267146804404
75% Corpus,3,0.01,0.9099999999999999,0.40809584431879325
75% Corpus,3,0.01,symmetric,0.45542872228613085
75% Corpus,3,0.31,0.01,0.4320648124288726
75% Corpus,3,0.31,0.31,0.41967591808789967
75% Corpus,3,0.31,0.61,0.4254788750036838
75% Corpus,3,0.31,0.9099999999999999,0.4219226971519571
75% Corpus,3,0.31,symmetric,0.41967591808789967
75% Corpus,3,0.61,0.01,0.429247088300567
75% Corpus,3,0.61,0.31,0.434108963580055
75% Corpus,3,0.61,0.61,0.4495598609091254
75% Corpus,3,0.61,0.9099999999999999,0.466107289217983
75% Corpus,3,0.61,symmetric,0.4427227773848288
75% Corpus,3,0.9099999999999999,0.01,0.4113986623988599
75% Corpus,3,0.9099999999999999,0.31,0.447634140542949
75% Corpus,3,0.9099999999999999,0.61,0.4610057714162969
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.4526833526331086
75% Corpus,3,0.9099999999999999,symmetric,0.447634140542949
75% Corpus,3,symmetric,0.01,0.4320648124288726
75% Corpus,3,symmetric,0.31,0.4294165785586371
75% Corpus,3,symmetric,0.61,0.4254788750036838
75% Corpus,3,symmetric,0.9099999999999999,0.4372489095864374
75% Corpus,3,symmetric,symmetric,0.4294165785586371
75% Corpus,3,asymmetric,0.01,0.47746005934100433
75% Corpus,3,asymmetric,0.31,0.4304580081422385
75% Corpus,3,asymmetric,0.61,0.36485526267104995
75% Corpus,3,asymmetric,0.9099999999999999,0.24649099350251016
75% Corpus,3,asymmetric,symmetric,0.4304580081422385
75% Corpus,4,0.01,0.01,0.47450847260357115
75% Corpus,4,0.01,0.31,0.3976158780494964
75% Corpus,4,0.01,0.61,0.43836279920136756
75% Corpus,4,0.01,0.9099999999999999,0.43087294053017355
75% Corpus,4,0.01,symmetric,0.38630574346939583
75% Corpus,4,0.31,0.01,0.46537436645959607
75% Corpus,4,0.31,0.31,0.43055439638270304
75% Corpus,4,0.31,0.61,0.42515736181373454
75% Corpus,4,0.31,0.9099999999999999,0.41473361181217383
75% Corpus,4,0.31,symmetric,0.43443060204921186
